[Wed 15 Apr 6:57:55 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 15 Apr 7:00:48 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 404
[Wed 15 Apr 7:02:47 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost404) Errore 404
[Wed 15 Apr 7:02:53 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost/404) Errore 404
[Fri 24 Apr 9:48:29 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 6 May 7:32:15 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 6 May 10:28:15 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 6 May 10:38:26 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 6 May 10:38:45 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 13 May 8:49:32 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 13 May 8:49:48 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 13 May 8:49:51 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Wed 13 May 8:49:53 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Mon 18 May 14:05:41 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Mon 18 May 14:11:55 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Tue 19 May 6:37:37 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Tue 19 May 6:38:24 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Tue 19 May 7:47:48 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Tue 19 May 7:47:52 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Tue 19 May 7:47:55 UTC 2015] [client:  (Firefox 37.0 - Linux)] (http://localhost) Errore 
[Tue 2 Jun 8:56:33 UTC 2015] [client:  (Firefox Generic - Linux)] (http://localhost) Errore 
[Sun 19 Jul 15:07:45 CEST 2015] [client:  (Chrome 43.0 - Win10)] (http://localhost) Errore 
[Thu 4 Jan 14:26:34 CET 2018] [client:  (DefaultProperties - unknown)] (http://localhost) Errore 
[Thu 4 Jan 14:31:37 CET 2018] [client:  (Opera 49.0 - Win10)] (http://localhost) Errore 
[Thu 4 Jan 14:43:51 CET 2018] [client:  (Opera 49.0 - Win10)] (http://localhost) Errore 
[Sat 6 Aug 8:49:36 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 8:55:42 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 8:59:38 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 9:02:03 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 9:02:15 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 9:12:51 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 9:13:48 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 9:19:41 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Sat 6 Aug 9:25:55 CEST 2022] [client:  (Chrome 104.0 - ChromeOS)] (http://100.115.92.203) Errore 404
[Fri 28 Oct 8:53:23 CEST 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 
[Fri 28 Oct 9:00:01 CEST 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 
[Fri 28 Oct 9:01:56 CEST 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 000
[Fri 28 Oct 9:29:02 CEST 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 000
[Fri 28 Oct 18:41:33 CEST 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 404
[Mon 31 Oct 14:18:12 CET 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 403
[Mon 31 Oct 14:21:09 CET 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 403
[Mon 31 Oct 14:22:30 CET 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 403
[Mon 31 Oct 16:18:41 CET 2022] [client:  (Chrome 106.0 - Win10)] (http://localhost:3000) Errore 400
[Sat 3 Jun 10:04:42 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:07:47 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:07:48 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:08:40 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:08:41 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:12:23 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:12:24 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:13:15 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:13:16 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:15:46 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:15:46 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:16:25 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:16:26 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:16:43 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:16:43 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:17:00 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:17:01 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:17:22 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:17:23 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:20:36 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:20:37 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:20:56 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:20:56 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 401
[Sat 3 Jun 10:21:19 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:21:20 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:21:29 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 300
[Sat 3 Jun 10:21:29 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 300
[Sat 3 Jun 10:21:51 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:21:51 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:29:57 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:29:58 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:30:50 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:30:50 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:31:54 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:31:55 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:32:21 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
[Sat 3 Jun 10:32:21 CEST 2023] [client: ::1 (Chrome Generic - Win10)] (http://localhost:3000) Errore 404
